Tuition fees up to date,Age at enrollment,Mother's qualification,Curricular units 1st sem (enrolled),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (grade),target
1,20,19,6,0,0.0,Dropout
1,28,3,5,0,13.14285714,Graduate
1,26,34,5,0,0.0,Dropout
1,19,1,7,0,14.75625,Graduate
1,60,37,6,0,14.75,Graduate
1,21,19,6,0,12.25,Graduate
1,18,37,5,0,11.5,Dropout
1,21,38,0,0,0.0,Dropout
1,21,1,6,0,12.25,Enrolled
1,27,37,5,0,0.0,Dropout
1,19,19,7,0,14.3625,Graduate
1,20,1,6,0,12.4,Enrolled
1,19,1,7,0,13.06666667,Enrolled
1,24,38,5,0,14.33333333,Enrolled
1,19,3,6,0,12.5,Graduate
1,18,37,6,0,14.28571429,Graduate
0,19,3,5,0,11.33333333,Dropout
1,20,1,6,0,11.83333333,Graduate
1,23,19,6,0,11.0,Dropout
1,20,1,7,0,0.0,Dropout
1,20,3,5,1,12.25,Graduate
1,19,38,12,0,12.08333333,Graduate
1,18,19,5,0,10.85714286,Dropout
1,18,37,6,1,12.2,Graduate
1,20,19,6,0,14.0,Graduate
1,24,19,6,0,12.875,Graduate
1,19,38,5,0,13.25,Enrolled
1,19,19,6,0,13.0,Dropout
1,24,19,7,0,13.65714286,Graduate
1,20,37,5,0,11.6,Graduate
1,20,38,8,0,14.40285714,Graduate
1,27,19,5,0,14.16666667,Graduate
1,18,37,8,0,12.93875,Graduate
0,28,34,5,0,11.5,Dropout
1,18,38,6,0,15.5,Graduate
1,33,34,5,0,13.0,Dropout
1,19,1,6,0,12.0,Enrolled
1,22,2,18,1,14.3,Graduate
1,19,19,5,0,12.4,Graduate
1,31,37,14,0,12.0,Graduate
1,20,19,7,0,13.4,Graduate
1,20,1,6,0,12.0,Enrolled
1,34,38,6,0,11.66666667,Graduate
1,20,38,7,0,13.74444444,Dropout
1,24,38,7,0,13.44285714,Graduate
1,20,37,5,0,11.8,Graduate
1,19,37,5,0,11.2,Graduate
1,20,19,6,0,12.66666667,Graduate
1,19,3,7,0,0.0,Dropout
1,20,1,7,0,11.425,Enrolled
1,19,38,8,0,12.35571429,Graduate
1,19,1,6,0,10.33333333,Enrolled
1,18,34,5,0,11.33333333,Dropout
1,20,37,7,0,13.5625,Graduate
1,28,38,6,0,11.0,Graduate
1,19,38,0,0,0.0,Graduate
1,31,37,6,0,10.16666667,Enrolled
1,31,37,6,0,0.0,Enrolled
1,59,37,5,0,0.0,Dropout
1,21,1,7,0,13.49375,Graduate
1,25,37,5,0,0.0,Dropout
1,22,37,5,0,14.6,Graduate
1,35,38,5,0,11.8,Enrolled
1,27,38,5,0,11.4,Enrolled
1,19,38,6,0,11.4,Graduate
1,19,37,6,0,12.0,Enrolled
1,18,3,8,0,13.24875,Graduate
1,36,37,7,0,0.0,Dropout
1,18,37,8,0,14.26875,Enrolled
1,20,19,7,0,14.0,Enrolled
1,24,38,6,0,12.5,Dropout
1,20,1,7,0,12.6,Graduate
1,23,1,6,0,11.25,Enrolled
1,18,19,7,0,13.68333333,Graduate
1,18,1,6,0,12.2,Graduate
1,34,37,11,0,12.14285714,Graduate
1,30,4,5,0,16.2,Enrolled
1,20,3,6,0,13.0,Graduate
1,18,38,6,0,13.71428571,Graduate
1,18,37,7,0,12.8,Enrolled
1,19,1,6,0,12.66666667,Graduate
1,19,19,6,0,12.2,Graduate
0,26,19,6,0,13.2,Dropout
0,31,19,6,0,12.33333333,Dropout
0,37,19,4,0,0.0,Dropout
1,22,3,6,0,14.375,Enrolled
0,19,38,6,0,10.16666667,Dropout
1,20,34,6,0,11.5,Dropout
1,18,38,5,0,13.0,Enrolled
1,19,1,5,0,0.0,Enrolled
1,21,19,7,0,12.33333333,Enrolled
1,20,3,6,0,10.5,Dropout
1,19,37,6,0,13.16666667,Graduate
1,19,37,6,0,10.0,Dropout
1,22,19,17,0,12.11764706,Graduate
1,25,19,8,0,12.08428571,Graduate
1,18,19,5,0,14.8,Dropout
1,18,38,6,0,13.83333333,Graduate
1,26,37,7,0,13.7,Graduate
1,18,19,6,0,13.8,Graduate
1,32,37,6,0,11.0,Dropout
0,36,1,6,0,14.66666667,Dropout
1,19,1,5,0,10.75,Dropout
1,21,1,6,1,11.0,Dropout
1,19,38,0,0,0.0,Graduate
1,19,1,5,0,11.75,Enrolled
0,28,38,6,0,0.0,Dropout
1,18,1,6,0,15.33333333,Graduate
1,18,30,6,0,11.66666667,Graduate
1,27,37,5,0,0.0,Dropout
1,26,34,15,0,11.63636364,Dropout
1,18,1,5,1,14.0,Graduate
1,20,42,6,0,13.4,Graduate
1,19,3,7,0,11.7,Enrolled
1,18,1,6,0,12.66666667,Graduate
1,21,19,5,0,11.75,Graduate
1,20,38,6,0,13.16666667,Graduate
1,29,37,5,0,0.0,Dropout
1,21,37,5,0,12.5,Dropout
0,28,19,5,0,0.0,Dropout
1,21,1,14,2,11.25,Graduate
1,19,19,6,0,13.83333333,Graduate
1,18,19,5,0,11.6,Graduate
1,18,3,6,0,15.16666667,Graduate
1,30,37,5,0,11.5,Dropout
1,20,3,7,0,14.775,Enrolled
0,18,37,6,1,12.16666667,Graduate
0,20,38,6,0,10.0,Dropout
1,18,1,6,0,13.71428571,Graduate
1,19,3,5,0,11.8,Graduate
1,35,37,6,0,11.5,Graduate
1,36,37,10,0,13.75,Dropout
1,18,1,5,0,12.0,Graduate
1,18,19,5,0,15.6,Dropout
1,19,1,6,0,12.0,Graduate
1,20,1,8,0,11.57142857,Graduate
0,32,37,0,0,0.0,Dropout
1,29,3,6,0,15.57142857,Graduate
1,19,9,5,0,13.0,Graduate
1,18,37,6,0,13.33333333,Graduate
1,18,1,6,0,11.8,Graduate
1,20,37,5,0,12.33333333,Graduate
1,18,38,5,0,12.0,Enrolled
1,19,38,6,0,13.5,Graduate
0,23,19,5,0,0.0,Dropout
1,18,19,7,0,14.8,Graduate
1,17,3,8,0,12.46,Enrolled
1,20,1,6,0,10.5,Dropout
1,28,37,11,0,12.55555556,Graduate
1,19,1,6,0,11.2,Graduate
1,26,19,6,0,11.0,Dropout
1,39,34,3,0,0.0,Dropout
1,24,1,5,0,12.66666667,Enrolled
1,20,1,5,0,13.0,Enrolled
0,26,41,7,0,14.0,Dropout
1,20,1,8,0,12.98125,Graduate
1,22,34,6,0,0.0,Dropout
1,21,38,6,0,12.33333333,Graduate
1,18,38,6,0,11.0,Enrolled
0,22,2,6,0,0.0,Dropout
1,34,2,5,0,13.42857143,Graduate
1,18,19,6,0,0.0,Dropout
1,26,3,6,0,12.8,Enrolled
1,35,34,16,0,12.0,Graduate
0,55,37,5,0,0.0,Dropout
1,18,1,0,0,0.0,Dropout
1,22,3,6,0,0.0,Dropout
1,24,37,10,0,11.83333333,Dropout
1,20,37,7,0,11.55,Graduate
1,18,19,5,0,13.0,Graduate
0,25,19,5,0,0.0,Dropout
1,19,19,7,0,14.3875,Dropout
1,27,37,5,0,13.75,Graduate
0,23,1,12,0,13.5,Enrolled
1,18,3,0,0,0.0,Graduate
1,29,37,5,0,12.33333333,Graduate
1,27,37,7,0,12.525,Enrolled
1,21,37,5,0,13.0,Graduate
1,18,1,7,0,12.6,Graduate
0,38,3,5,0,0.0,Dropout
1,23,39,6,0,10.66666667,Enrolled
1,18,1,0,0,0.0,Enrolled
1,22,1,6,0,10.25,Enrolled
1,20,19,7,0,12.33333333,Graduate
1,20,3,12,0,12.77777778,Graduate
1,20,39,6,0,11.0,Dropout
1,18,37,8,0,12.93375,Graduate
1,21,38,5,0,11.8,Enrolled
1,24,3,6,0,13.66666667,Dropout
1,18,19,6,0,11.8,Dropout
1,22,38,6,0,13.0,Graduate
1,18,38,6,0,12.33333333,Graduate
1,19,1,6,0,14.0,Graduate
1,22,3,12,0,15.42857143,Graduate
1,19,12,6,0,11.71428571,Dropout
1,19,19,6,0,10.16666667,Graduate
1,20,19,5,0,13.71428571,Enrolled
0,44,37,8,2,12.0,Dropout
1,22,37,6,0,10.66666667,Enrolled
1,18,1,0,0,0.0,Graduate
1,20,34,7,0,11.95,Dropout
0,18,38,0,0,0.0,Graduate
1,19,1,12,0,11.18181818,Enrolled
0,33,37,6,0,0.0,Dropout
1,21,1,8,0,12.91,Graduate
1,19,38,5,0,11.44444444,Graduate
1,41,37,2,0,0.0,Dropout
1,22,38,0,0,0.0,Dropout
0,26,1,6,0,0.0,Dropout
1,21,4,5,0,10.5,Enrolled
1,25,1,6,0,0.0,Dropout
0,19,1,0,0,0.0,Dropout
1,19,38,8,0,12.78571429,Graduate
1,18,19,6,0,11.5,Enrolled
0,23,37,5,0,0.0,Dropout
1,20,37,5,2,12.6,Enrolled
1,18,38,8,0,14.935,Graduate
1,20,1,6,0,13.85714286,Graduate
1,18,19,6,0,16.0,Graduate
1,31,3,5,0,0.0,Dropout
1,33,3,5,1,12.0,Dropout
1,25,37,6,0,11.25,Dropout
1,24,38,5,0,14.5,Dropout
0,21,1,7,0,11.58,Dropout
1,18,19,6,0,14.55555556,Graduate
1,23,38,6,0,0.0,Enrolled
1,18,3,5,0,0.0,Dropout
1,18,19,5,0,14.0,Enrolled
1,37,37,16,0,11.88888889,Graduate
1,21,2,7,0,13.125,Graduate
1,19,1,5,0,10.0,Dropout
1,18,19,6,0,0.0,Dropout
1,20,1,7,0,14.2125,Dropout
0,22,40,6,0,12.0,Enrolled
0,19,1,5,0,0.0,Dropout
1,19,1,0,0,0.0,Graduate
1,21,1,0,0,0.0,Dropout
1,20,19,7,0,13.96666667,Graduate
1,19,37,7,0,0.0,Dropout
1,22,3,6,0,10.0,Dropout
1,19,1,5,0,12.66666667,Enrolled
1,34,37,16,1,12.27272727,Graduate
1,20,1,6,0,11.5,Enrolled
1,18,3,6,0,10.0,Enrolled
1,20,19,6,0,12.0,Enrolled
1,29,34,6,1,0.0,Dropout
1,18,4,6,0,12.14285714,Graduate
0,21,19,6,0,0.0,Dropout
1,18,19,8,0,14.24,Graduate
1,20,19,0,0,0.0,Graduate
1,19,1,6,0,10.5,Enrolled
0,59,35,15,0,12.875,Dropout
1,20,34,6,0,11.66666667,Dropout
1,27,3,6,0,13.83333333,Graduate
1,19,3,6,0,11.33333333,Graduate
1,33,19,9,0,11.42857143,Graduate
1,20,19,7,0,13.0,Graduate
1,18,1,6,0,12.16666667,Graduate
1,21,1,6,0,11.0,Dropout
1,43,37,5,0,14.0,Graduate
1,25,38,5,0,11.33333333,Enrolled
0,19,1,0,0,0.0,Graduate
0,20,19,6,0,11.4,Graduate
1,19,3,7,0,14.26666667,Graduate
1,21,1,6,0,12.2,Graduate
1,20,3,6,0,12.16666667,Graduate
1,24,1,8,0,12.74285714,Graduate
1,18,3,5,0,14.16666667,Graduate
1,19,37,5,0,0.0,Dropout
0,21,1,10,0,10.0,Enrolled
1,18,37,6,0,13.0,Graduate
0,27,1,6,0,0.0,Dropout
1,26,19,7,0,0.0,Enrolled
1,21,1,6,0,0.0,Dropout
1,21,1,9,0,12.2,Enrolled
1,25,34,5,0,0.0,Dropout
1,19,19,8,0,14.23285714,Graduate
1,20,3,7,0,14.33333333,Enrolled
1,19,1,7,0,13.54444444,Graduate
1,20,38,6,0,11.8,Graduate
1,19,38,7,0,13.92727273,Graduate
1,22,37,6,0,12.0,Dropout
1,24,1,6,0,14.16666667,Graduate
1,19,3,7,0,0.0,Dropout
0,33,37,5,0,0.0,Dropout
1,24,19,7,0,12.15,Enrolled
1,42,37,6,0,13.66666667,Graduate
1,18,37,7,0,14.2,Graduate
1,18,38,5,1,11.75,Graduate
1,41,37,6,0,0.0,Dropout
1,30,5,6,0,13.5,Dropout
1,47,37,5,0,11.6,Dropout
1,33,37,5,0,12.0,Dropout
1,19,1,7,0,13.05,Graduate
1,20,37,7,0,15.52222222,Graduate
1,21,37,6,0,14.5,Graduate
1,39,19,5,0,11.6,Graduate
1,19,3,8,0,13.25375,Graduate
1,27,37,6,0,12.0,Graduate
0,19,37,6,0,11.0,Dropout
1,18,1,5,1,10.5,Graduate
1,18,38,6,0,12.0,Dropout
1,18,38,6,0,14.85714286,Graduate
1,18,1,6,0,13.28571429,Graduate
1,20,2,6,0,12.14285714,Graduate
0,23,3,6,0,13.0,Enrolled
1,23,1,7,0,13.5,Enrolled
1,19,1,5,0,10.0,Dropout
1,31,37,5,0,12.0,Dropout
1,21,19,6,0,10.8,Dropout
1,19,38,6,0,12.5,Enrolled
1,18,2,7,0,13.2,Enrolled
1,21,1,7,0,14.125,Graduate
1,18,19,6,0,13.66666667,Graduate
1,19,38,5,0,10.8,Dropout
0,23,34,3,0,0.0,Dropout
1,21,38,5,0,0.0,Dropout
1,19,1,8,0,14.75,Graduate
0,19,1,0,0,0.0,Dropout
1,18,19,0,0,0.0,Graduate
1,19,1,7,0,11.7125,Graduate
1,30,37,6,0,11.33333333,Dropout
1,20,1,8,0,13.48714286,Graduate
1,19,1,8,0,12.82875,Graduate
1,25,37,16,0,12.27272727,Graduate
0,29,19,6,0,0.0,Dropout
1,19,3,6,0,11.0,Enrolled
1,21,19,17,0,12.66666667,Graduate
1,20,3,6,0,12.0,Enrolled
0,18,34,5,0,10.75,Dropout
1,22,37,6,0,13.0,Graduate
0,32,1,6,0,0.0,Dropout
1,19,37,0,0,0.0,Dropout
1,19,1,7,0,13.98,Enrolled
1,48,37,6,0,10.0,Dropout
0,18,1,6,1,10.83333333,Enrolled
1,25,37,15,0,11.35714286,Graduate
1,19,1,7,0,0.0,Dropout
1,18,1,6,0,14.16666667,Graduate
1,31,34,6,0,0.0,Dropout
1,19,19,6,0,11.83333333,Graduate
1,21,1,6,0,12.66666667,Graduate
1,27,37,8,0,12.8875,Graduate
0,19,38,7,0,0.0,Dropout
1,31,37,5,0,13.8,Graduate
1,21,37,6,0,15.33333333,Dropout
1,18,19,7,0,12.91666667,Graduate
1,28,12,13,0,10.6,Dropout
1,22,1,8,0,13.28571429,Graduate
1,35,1,5,0,12.6,Graduate
1,18,19,8,3,0.0,Dropout
1,20,37,7,1,0.0,Dropout
1,22,4,6,0,11.0,Graduate
0,51,37,4,0,0.0,Dropout
1,21,3,5,0,11.75,Graduate
1,20,38,5,0,11.66666667,Graduate
1,19,19,8,0,12.35714286,Graduate
1,20,3,6,0,11.85714286,Graduate
1,37,37,6,0,0.0,Dropout
1,47,1,1,0,0.0,Enrolled
1,21,37,6,0,11.4,Enrolled
0,32,37,5,1,0.0,Dropout
1,24,38,6,0,12.83333333,Graduate
1,23,19,6,0,13.0,Graduate
1,19,1,8,0,12.51428571,Graduate
1,19,3,6,0,11.0,Graduate
1,18,1,6,0,12.2,Graduate
1,18,1,6,0,15.33333333,Graduate
1,20,19,7,0,14.65,Graduate
1,20,1,7,0,14.125,Enrolled
1,19,19,7,0,15.1,Graduate
1,18,3,0,0,0.0,Graduate
1,21,19,5,2,11.33333333,Enrolled
1,18,1,6,0,14.5,Graduate
1,18,1,5,0,16.4,Graduate
1,19,37,6,0,12.71428571,Graduate
1,19,19,6,0,12.0,Graduate
1,35,37,5,0,12.33333333,Enrolled
1,19,1,6,0,12.375,Graduate
1,20,38,6,0,10.75,Enrolled
1,33,37,6,0,11.66666667,Graduate
1,19,19,8,0,13.57625,Graduate
1,19,38,7,0,13.32625,Graduate
1,22,38,6,0,14.5,Enrolled
1,19,1,5,0,12.66666667,Graduate
1,18,12,6,0,11.28571429,Graduate
1,21,38,6,0,14.25,Enrolled
1,18,1,6,0,12.66666667,Graduate
1,19,38,8,0,12.45428571,Graduate
1,19,19,5,2,12.6,Graduate
1,37,37,6,0,10.5,Dropout
1,18,19,8,0,14.14125,Graduate
1,19,19,6,0,13.16666667,Graduate
1,26,34,5,0,0.0,Dropout
1,21,1,6,0,11.6,Graduate
1,22,19,6,0,12.16666667,Graduate
1,18,4,8,5,0.0,Enrolled
1,18,3,5,0,13.25,Enrolled
1,35,34,5,0,10.0,Dropout
1,19,1,8,0,13.44285714,Graduate
1,18,19,6,0,10.75,Enrolled
1,21,1,7,0,11.65,Graduate
1,19,19,5,0,15.4,Graduate
1,19,1,6,0,0.0,Dropout
0,55,37,6,0,12.4,Dropout
0,20,34,6,0,11.0,Dropout
1,18,19,7,0,12.76111111,Graduate
1,30,3,7,0,11.14285714,Dropout
1,40,37,6,0,12.75,Dropout
1,43,37,6,0,12.5,Graduate
1,20,1,6,0,15.42857143,Graduate
1,20,38,9,0,11.71428571,Graduate
1,20,37,6,0,12.3,Enrolled
1,19,19,6,0,12.75,Enrolled
1,22,37,5,0,12.2,Graduate
0,48,37,5,0,0.0,Dropout
1,28,19,5,0,13.0,Enrolled
0,32,37,7,7,0.0,Dropout
1,19,38,8,0,12.47142857,Graduate
1,20,38,10,0,12.36363636,Graduate
1,18,1,6,0,13.2,Dropout
1,18,38,8,0,11.78571429,Graduate
1,28,38,18,12,11.42857143,Graduate
1,23,19,6,0,14.16666667,Graduate
1,22,1,6,0,10.0,Dropout
0,18,1,5,0,14.2,Enrolled
0,24,38,6,0,0.0,Dropout
1,19,1,6,0,13.4,Graduate
1,20,19,6,0,14.25,Graduate
1,19,1,6,1,12.5,Graduate
1,21,19,6,0,11.0,Enrolled
1,19,1,10,0,10.0,Enrolled
1,18,1,7,0,13.75555556,Graduate
1,19,38,5,0,10.0,Dropout
1,19,37,6,0,11.66666667,Enrolled
1,31,1,6,0,0.0,Dropout
1,18,3,5,0,11.66666667,Enrolled
1,21,3,5,0,10.33333333,Enrolled
1,19,1,6,0,14.42857143,Graduate
1,24,1,12,0,12.63636364,Graduate
1,20,1,6,0,11.8,Enrolled
1,26,1,6,0,0.0,Dropout
1,28,1,15,0,11.33333333,Dropout
1,18,1,6,0,13.42857143,Enrolled
0,43,37,6,0,12.25,Dropout
1,18,1,5,0,13.625,Enrolled
1,19,19,6,0,12.33333333,Graduate
1,19,37,6,0,11.0,Graduate
1,18,37,6,0,10.0,Enrolled
1,36,37,7,0,12.33333333,Dropout
1,43,37,6,0,12.14285714,Enrolled
1,18,3,5,2,11.85714286,Graduate
1,19,1,6,0,14.0,Graduate
1,23,1,6,0,16.375,Graduate
1,43,37,6,0,0.0,Dropout
1,19,12,6,0,13.66666667,Graduate
1,61,37,5,0,0.0,Dropout
1,18,38,5,0,0.0,Enrolled
1,22,38,7,0,15.05555556,Graduate
1,20,1,6,0,12.5,Graduate
0,29,3,6,0,13.8,Enrolled
1,20,19,6,0,12.83333333,Graduate
1,21,38,6,0,12.66666667,Graduate
1,18,38,5,2,11.66666667,Dropout
1,32,37,15,0,12.38461538,Graduate
1,18,3,6,0,13.6,Graduate
0,18,19,6,0,11.8,Enrolled
0,24,12,5,0,0.0,Dropout
1,31,37,5,0,13.0,Dropout
1,22,1,5,0,10.0,Dropout
1,23,37,0,0,0.0,Dropout
1,19,37,6,0,10.83333333,Enrolled
1,18,37,5,0,11.6,Graduate
1,18,1,0,0,0.0,Dropout
1,19,19,8,0,12.3,Graduate
1,19,2,6,0,12.8,Graduate
1,20,37,6,0,10.33333333,Enrolled
1,24,3,9,0,13.11111111,Enrolled
0,21,1,6,0,12.0,Dropout
1,18,19,6,0,14.0,Graduate
1,20,1,6,0,12.33333333,Dropout
1,58,37,6,0,0.0,Dropout
1,18,1,7,0,14.23125,Graduate
0,22,19,6,0,0.0,Dropout
0,23,37,5,1,12.33333333,Dropout
1,29,1,3,0,0.0,Dropout
1,27,34,7,6,0.0,Dropout
1,18,12,6,0,11.33333333,Graduate
1,18,38,6,0,12.4,Graduate
1,23,38,11,0,12.6,Enrolled
1,19,1,5,0,13.8,Graduate
1,27,3,5,0,0.0,Dropout
1,19,37,6,0,12.8,Dropout
0,28,3,5,1,0.0,Dropout
1,20,14,10,0,11.77777778,Graduate
1,23,19,6,0,11.0,Enrolled
1,18,38,6,0,11.2,Enrolled
1,32,2,6,0,0.0,Dropout
1,20,1,7,0,0.0,Enrolled
1,18,38,5,0,12.57142857,Graduate
1,18,3,5,2,13.6,Graduate
1,19,1,5,0,11.6,Graduate
1,19,3,5,0,10.75,Dropout
1,20,38,6,0,14.0,Graduate
1,28,38,6,0,12.6,Graduate
1,26,19,5,0,0.0,Dropout
1,20,3,5,0,12.25,Enrolled
1,20,37,6,0,12.4,Graduate
1,23,1,6,0,12.14285714,Enrolled
1,26,3,7,0,13.30625,Dropout
0,27,19,6,0,0.0,Dropout
1,18,1,5,0,14.2,Dropout
1,18,1,6,0,12.33333333,Graduate
1,21,1,6,0,10.5,Enrolled
1,20,38,6,0,12.66666667,Dropout
1,25,3,14,0,10.85714286,Dropout
1,19,19,6,0,13.125,Dropout
0,18,30,6,0,11.4,Dropout
1,18,38,8,0,15.07571429,Graduate
1,25,1,17,0,12.05555556,Graduate
1,24,19,6,0,13.6,Graduate
1,20,1,6,0,12.0,Graduate
1,20,37,5,0,13.66666667,Graduate
1,54,37,15,1,11.1,Dropout
1,21,19,6,0,0.0,Dropout
1,20,38,7,0,12.33,Graduate
1,19,3,11,0,12.90909091,Graduate
1,18,19,6,0,16.42857143,Graduate
1,20,19,8,0,14.01428571,Enrolled
1,19,1,6,0,13.42857143,Graduate
1,18,12,6,0,12.25,Dropout
1,40,37,9,0,14.14285714,Graduate
1,19,19,6,0,14.0,Graduate
1,22,1,7,0,12.73333333,Graduate
1,18,3,0,0,0.0,Graduate
1,18,1,5,0,12.2,Dropout
1,21,19,8,8,0.0,Enrolled
1,18,1,6,0,14.66666667,Graduate
1,18,38,5,0,11.8,Graduate
1,18,19,7,0,13.5,Enrolled
1,22,19,5,0,0.0,Dropout
1,20,19,6,0,11.33333333,Graduate
1,21,38,7,0,13.20714286,Graduate
1,19,1,0,0,0.0,Graduate
1,25,4,3,0,0.0,Dropout
1,19,37,6,0,12.25,Dropout
1,24,1,6,0,15.9,Dropout
1,19,1,8,0,12.82857143,Graduate
1,19,1,6,0,13.4,Graduate
1,19,37,5,0,0.0,Dropout
0,50,37,6,0,0.0,Dropout
1,22,37,6,0,13.0,Graduate
1,18,37,6,0,13.2,Graduate
1,19,37,7,0,14.4775,Graduate
1,19,19,6,0,13.0,Graduate
1,19,19,6,0,10.83333333,Enrolled
1,20,37,5,0,11.0,Enrolled
1,20,38,5,0,12.2,Graduate
1,22,19,6,0,10.66666667,Graduate
1,18,19,7,0,13.2,Graduate
1,19,1,6,0,14.0,Graduate
1,53,1,15,0,11.66666667,Enrolled
1,24,19,6,0,11.5,Dropout
1,20,38,5,0,0.0,Dropout
1,21,1,5,0,12.8,Graduate
1,19,38,6,0,10.25,Dropout
1,18,1,7,0,12.66666667,Enrolled
1,46,37,9,2,11.8,Graduate
1,19,1,6,0,14.33333333,Graduate
1,31,3,12,0,13.46153846,Graduate
0,20,37,5,0,0.0,Dropout
1,18,1,8,0,14.15375,Graduate
1,19,37,6,0,13.0,Graduate
1,20,38,11,0,13.54545455,Graduate
1,26,9,5,0,0.0,Dropout
0,20,38,6,0,12.0,Dropout
1,21,2,5,0,12.75,Dropout
1,19,19,6,0,11.83333333,Graduate
1,23,38,7,0,12.61666667,Enrolled
0,19,1,6,0,11.0,Dropout
1,18,1,7,0,12.80555556,Dropout
1,23,37,15,0,11.14285714,Graduate
1,18,19,6,0,11.83333333,Graduate
1,20,1,6,0,0.0,Dropout
0,20,1,7,0,11.575,Dropout
1,22,12,7,0,13.77777778,Graduate
1,18,19,7,0,15.61111111,Graduate
1,20,38,6,0,14.42857143,Graduate
1,22,3,5,0,15.8,Graduate
1,39,37,5,0,17.0,Dropout
1,22,38,6,0,13.625,Graduate
1,22,1,6,0,11.71428571,Graduate
1,47,37,7,0,11.75,Dropout
1,26,1,6,1,0.0,Dropout
0,18,1,5,0,0.0,Dropout
1,18,19,8,0,11.97142857,Graduate
1,19,3,6,0,11.5,Graduate
0,18,38,6,0,0.0,Dropout
1,20,37,5,2,11.0,Dropout
1,20,3,6,0,11.5,Enrolled
0,50,37,7,0,11.25,Dropout
1,18,38,6,0,11.5,Graduate
1,24,38,6,0,13.5,Dropout
0,27,37,6,0,10.5,Dropout
1,19,1,7,0,12.41666667,Enrolled
1,20,1,6,0,15.0,Enrolled
1,43,37,5,0,12.5,Enrolled
1,30,37,5,0,11.0,Dropout
0,40,37,6,0,0.0,Dropout
1,19,3,5,0,12.6,Enrolled
0,44,37,6,0,0.0,Dropout
1,19,1,6,0,11.0,Dropout
1,19,3,8,0,14.72571429,Graduate
0,35,37,6,0,14.16666667,Graduate
1,21,19,5,2,12.0,Enrolled
1,20,19,6,0,11.83333333,Graduate
1,20,1,0,0,0.0,Dropout
1,19,2,7,0,13.09444444,Graduate
1,24,38,7,1,12.66666667,Graduate
1,20,37,5,0,13.0,Graduate
1,30,37,10,0,12.0,Graduate
1,19,3,6,0,12.66666667,Graduate
1,18,19,7,0,13.19333333,Graduate
1,18,19,7,0,14.63375,Graduate
1,55,37,5,0,12.0,Dropout
1,24,3,5,0,12.2,Graduate
1,21,38,5,0,12.28571429,Graduate
1,20,38,5,0,11.28571429,Graduate
1,18,1,6,0,11.85714286,Graduate
1,28,37,6,0,0.0,Enrolled
1,20,37,6,0,0.0,Dropout
1,18,37,8,0,14.50125,Graduate
1,18,3,6,0,14.8,Graduate
1,20,37,5,0,12.625,Enrolled
1,60,37,18,0,14.23076923,Graduate
1,20,19,5,0,10.4,Graduate
1,34,37,10,0,11.5,Dropout
1,20,1,6,0,12.5,Graduate
1,20,19,6,0,13.0,Enrolled
1,22,37,8,0,13.08,Graduate
1,24,1,6,0,0.0,Dropout
1,18,2,0,0,0.0,Enrolled
1,35,3,6,0,13.1,Graduate
0,21,38,6,0,10.0,Dropout
0,26,1,5,0,10.66666667,Dropout
1,19,3,5,0,12.5,Dropout
1,20,1,6,0,0.0,Dropout
1,22,2,5,0,13.28571429,Graduate
1,31,37,9,0,12.8,Dropout
1,18,4,6,0,0.0,Enrolled
1,20,19,6,0,12.625,Graduate
1,19,19,6,0,14.33333333,Graduate
1,18,37,6,0,13.5,Graduate
1,22,34,5,0,0.0,Dropout
1,26,19,7,0,11.675,Dropout
0,27,1,6,0,0.0,Dropout
1,23,37,6,0,0.0,Dropout
0,29,1,6,0,0.0,Dropout
1,24,38,5,0,16.0,Graduate
0,26,19,7,0,11.56666667,Dropout
1,28,37,5,0,11.33333333,Dropout
1,23,1,6,0,14.0,Graduate
1,30,37,5,0,0.0,Dropout
1,21,3,7,0,12.58333333,Graduate
0,27,19,5,0,0.0,Dropout
1,30,1,7,0,14.8,Graduate
1,20,37,7,0,13.38333333,Graduate
0,19,3,6,0,12.875,Graduate
1,18,19,8,0,13.21428571,Graduate
0,21,38,6,0,13.2,Dropout
1,41,37,6,0,13.0,Graduate
1,44,37,7,0,16.2,Dropout
1,20,19,7,0,12.4125,Graduate
1,47,1,11,0,15.77777778,Graduate
1,34,34,10,0,12.33333333,Graduate
0,20,37,6,0,0.0,Dropout
1,18,1,7,0,0.0,Dropout
1,24,19,6,0,0.0,Dropout
0,22,3,5,0,0.0,Dropout
1,39,1,6,0,0.0,Dropout
1,19,37,6,0,11.66666667,Graduate
1,19,38,5,0,14.6,Graduate
1,22,37,14,2,12.33333333,Graduate
1,22,1,6,0,0.0,Dropout
1,18,19,6,0,13.66666667,Graduate
1,42,37,5,0,11.0,Dropout
1,18,1,5,0,12.8,Graduate
1,45,37,5,0,14.16666667,Graduate
1,28,1,5,0,0.0,Dropout
1,18,1,6,0,14.83333333,Graduate
1,19,38,6,0,12.8,Graduate
1,21,1,5,0,0.0,Dropout
0,29,1,5,0,0.0,Dropout
1,34,19,5,0,11.0,Dropout
1,18,1,6,0,12.83333333,Graduate
1,19,1,6,0,12.71428571,Enrolled
0,20,3,6,0,13.0,Graduate
1,21,38,14,1,13.4173913,Graduate
1,19,1,7,0,13.53333333,Graduate
1,18,37,6,0,13.33333333,Graduate
1,18,1,6,0,14.0,Graduate
